index,time_step,xyz_position,quaternion_orientation
19,1718632551.934654,"[0.9274215698242188, 0.06359358131885529, 0.7380365133285522]","[-0.29714998602867126, 0.5131157636642456, -0.03756136819720268, 0.8043650984764099]"
20,1718632552.2085671,"[0.9273785352706909, 0.06325022876262665, 0.7377577424049377]","[-0.2980346083641052, 0.5134925842285156, -0.03744446858763695, 0.8038026690483093]"
21,1718632552.492342,"[0.9273423552513123, 0.06292039901018143, 0.7375044226646423]","[-0.29907017946243286, 0.5137167572975159, -0.03766010329127312, 0.8032643795013428]"
22,1718632552.7465758,"[0.9273114800453186, 0.06266742944717407, 0.7373409271240234]","[-0.29968059062957764, 0.5139491558074951, -0.03754229098558426, 0.8028938174247742]"
23,1718632553.03807,"[0.9267584681510925, 0.051136597990989685, 0.742595911026001]","[-0.28226572275161743, 0.5113127827644348, -0.05788706615567207, 0.8096507787704468]"
24,1718632553.2945511,"[0.926749050617218, 0.04509997367858887, 0.7446749210357666]","[-0.2742702066898346, 0.5109337568283081, -0.06858896464109421, 0.8117992877960205]"
25,1718632553.5658848,"[0.9267463684082031, 0.0377790592610836, 0.7470988631248474]","[-0.26297080516815186, 0.5118042826652527, -0.07564008235931396, 0.8143594861030579]"
26,1718632553.857821,"[0.9266217947006226, 0.03199693188071251, 0.7488856911659241]","[-0.252096951007843, 0.5145227909088135, -0.07542675733566284, 0.8161031007766724]"
27,1718632554.148028,"[0.926241934299469, 0.027863236144185066, 0.7505791187286377]","[-0.24135051667690277, 0.5178527235984802, -0.06905322521924973, 0.8178080916404724]"
28,1718632554.4125729,"[0.925442099571228, 0.025611218065023422, 0.7523244023323059]","[-0.22936947643756866, 0.5222143530845642, -0.057426825165748596, 0.8193802833557129]"
29,1718632554.707708,"[0.9244809150695801, 0.027170687913894653, 0.7559637427330017]","[-0.2104247808456421, 0.5252236723899841, -0.04194812849164009, 0.8234694600105286]"
30,1718632554.98018,"[0.9234145283699036, 0.030901577323675156, 0.7617915868759155]","[-0.18878084421157837, 0.5262488722801208, -0.02644404023885727, 0.8286885619163513]"
31,1718632555.2799401,"[0.9214577674865723, 0.03330908715724945, 0.7712865471839905]","[-0.17422036826610565, 0.5276127457618713, -0.016567768529057503, 0.8312625885009766]"
32,1718632555.573787,"[0.9192432761192322, 0.03453310951590538, 0.7822995781898499]","[-0.1646030694246292, 0.5295633673667908, -0.010802514851093292, 0.8320768475532532]"
33,1718632555.860966,"[0.9167277812957764, 0.034897178411483765, 0.7954594492912292]","[-0.15767908096313477, 0.5327932834625244, -0.007390011101961136, 0.8313928246498108]"
34,1718632556.143819,"[0.9144473075866699, 0.03474981337785721, 0.808814525604248]","[-0.15230271220207214, 0.5366131067276001, -0.005455351900309324, 0.8299521207809448]"
35,1718632556.4229429,"[0.9126185774803162, 0.03422544151544571, 0.8215926885604858]","[-0.14750371873378754, 0.540230393409729, -0.0043154009617865086, 0.8284775614738464]"
36,1718632556.685367,"[0.9110074043273926, 0.033440183848142624, 0.8347013592720032]","[-0.14301608502864838, 0.5444913506507874, -0.0036517928820103407, 0.8264757990837097]"
37,1718632556.972467,"[0.9096574187278748, 0.032442737370729446, 0.8480883240699768]","[-0.13851948082447052, 0.5492905378341675, -0.003240686608478427, 0.8240641355514526]"
38,1718632557.25475,"[0.9085419178009033, 0.03133562207221985, 0.8618003129959106]","[-0.13414207100868225, 0.5548971891403198, -0.0030160231981426477, 0.8210273385047913]"
39,1718632557.5357969,"[0.9077697396278381, 0.03007923625409603, 0.8755090236663818]","[-0.1294393390417099, 0.5607492327690125, -0.0028204957488924265, 0.8178005218505859]"
40,1718632557.824128,"[0.9072980880737305, 0.02881113439798355, 0.8888856172561646]","[-0.12488611787557602, 0.5669674873352051, -0.002731550019234419, 0.8142136335372925]"
41,1718632558.1132858,"[0.9071705937385559, 0.027508631348609924, 0.9012966156005859]","[-0.12017706781625748, 0.5728296041488647, -0.0026559701655060053, 0.8108122944831848]"
42,1718632558.379085,"[0.9072727560997009, 0.02615239843726158, 0.9142739176750183]","[-0.11537764966487885, 0.579518735408783, -0.002589914482086897, 0.806746244430542]"
43,1718632558.6739619,"[0.9076300859451294, 0.024807782843708992, 0.9273724555969238]","[-0.11070679128170013, 0.5867728590965271, -0.0025534462183713913, 0.8021441102027893]"
44,1718632558.9584901,"[0.9082474708557129, 0.02347656525671482, 0.9393316507339478]","[-0.10596156865358353, 0.5934644341468811, -0.0025063566863536835, 0.7978508472442627]"
45,1718632559.210388,"[0.908922553062439, 0.02239045687019825, 0.9492040276527405]","[-0.10208093374967575, 0.5992838144302368, -0.0024541758466511965, 0.7939977049827576]"
46,1718632559.468176,"[0.9098978042602539, 0.0211226474493742, 0.9603594541549683]","[-0.097492516040802, 0.6060052514076233, -0.002417871495708823, 0.7894599437713623]"
47,1718632559.756334,"[0.9111030697822571, 0.01983579248189926, 0.9717881679534912]","[-0.09280595928430557, 0.6132078170776367, -0.00236095255240798, 0.7844473719596863]"
48,1718632560.0589209,"[0.9126057624816895, 0.018553363159298897, 0.9840174913406372]","[-0.0881761685013771, 0.6213583946228027, -0.0022956631146371365, 0.7785456776618958]"
49,1718632560.348508,"[0.914118230342865, 0.017424331977963448, 0.9945181608200073]","[-0.08410435914993286, 0.6284813284873962, -0.0022821384482085705, 0.7732608914375305]"
50,1718632560.638978,"[0.9158057570457458, 0.0162868183106184, 1.0048444271087646]","[-0.07984954118728638, 0.6356196403503418, -0.002227779943495989, 0.7678585648536682]"
51,1718632560.935804,"[0.9177839756011963, 0.015154315158724785, 1.015800952911377]","[-0.07558850944042206, 0.6434966921806335, -0.002157046226784587, 0.7617043852806091]"
52,1718632561.213144,"[0.9200485944747925, 0.01409165933728218, 1.027207851409912]","[-0.071730837225914, 0.6520265340805054, -0.0021167786326259375, 0.7547923922538757]"
53,1718632561.463561,"[0.9220091104507446, 0.01326200645416975, 1.0361933708190918]","[-0.0686565637588501, 0.658846378326416, -0.0020735780708491802, 0.7491350769996643]"
54,1718632561.7432709,"[0.9243568181991577, 0.012326760217547417, 1.0460766553878784]","[-0.06511528789997101, 0.6664051413536072, -0.0020310035906732082, 0.7427383065223694]"
55,1718632562.033372,"[0.9270012974739075, 0.011399373412132263, 1.0563855171203613]","[-0.06151633337140083, 0.6744651794433594, -0.0019680317491292953, 0.7357367277145386]"
56,1718632562.313142,"[0.9300196170806885, 0.010520574636757374, 1.0673213005065918]","[-0.05823756381869316, 0.6832427978515625, -0.0019258421380072832, 0.7278625965118408]"
57,1718632562.583641,"[0.933150589466095, 0.009709678590297699, 1.077817678451538]","[-0.05519143119454384, 0.6917712092399597, -0.0018881165888160467, 0.7200019955635071]"
58,1718632562.864635,"[0.9363408088684082, 0.008940586820244789, 1.087761640548706]","[-0.05215107649564743, 0.6999094486236572, -0.0018334611086174846, 0.7123226523399353]"
59,1718632563.1346009,"[0.9395565390586853, 0.008244198746979237, 1.097172498703003]","[-0.04940665140748024, 0.7077023983001709, -0.001791470218449831, 0.704778790473938]"
60,1718632563.421222,"[0.9427201747894287, 0.0076041799038648605, 1.1059014797210693]","[-0.046795934438705444, 0.7149805426597595, -0.0017457493813708425, 0.6975743174552917]"
61,1718632563.671493,"[0.9450947642326355, 0.00713935075327754, 1.1121480464935303]","[-0.044841475784778595, 0.7202118039131165, -0.0017100906698033214, 0.6923013925552368]"
62,1718632563.9315488,"[0.9481797218322754, 0.0065887682139873505, 1.1199325323104858]","[-0.04246695339679718, 0.7267850041389465, -0.0016602319665253162, 0.6855489611625671]"
63,1718632564.23356,"[0.9512165188789368, 0.00608325470238924, 1.1272587776184082]","[-0.040220875293016434, 0.7330082654953003, -0.0016091912984848022, 0.6790276765823364]"
64,1718632564.512365,"[0.9545606374740601, 0.005605592392385006, 1.1349945068359375]","[-0.038136303424835205, 0.7396411299705505, -0.0015630602138116956, 0.6719183325767517]"
65,1718632564.776901,"[0.9572933316230774, 0.005200858227908611, 1.1410682201385498]","[-0.03664305433630943, 0.7448607683181763, -0.0015311624156311154, 0.6662113070487976]"
66,1718632565.041077,"[0.9610351920127869, 0.004283959977328777, 1.149073600769043]","[-0.03630048409104347, 0.7517400979995728, -0.001574116526171565, 0.6584577560424805]"
67,1718632565.291593,"[0.9641596674919128, 0.0034109721891582012, 1.155495285987854]","[-0.03680242598056793, 0.7572576999664307, -0.001636222004890442, 0.6520764231681824]"
